index,name,code,close,jx5
16,风华高科,000636,21.96,10
19,海利生物,603718,15.82,10
20,集泰股份,002909,18.9,10
29,古井贡酒,000596,99.66,10
64,通策医疗,600763,59.09,10
68,我武生物,300357,45.83,10
82,仁和药业,000650,7.75,10
89,佩蒂股份,300673,54.0,10
102,光库科技,300620,48.35,10
108,宋城演艺,300144,25.53,10
112,元祖股份,603886,21.9,10
119,扬帆新材,300637,31.2,10
122,广州酒家,603043,27.23,10
125,中国国旅,601888,71.0,10
131,顺鑫农业,000860,42.66,10
139,华新水泥,600801,17.5,10
142,山西汾酒,600809,63.93,6
157,振华股份,603067,13.84,10
165,东北制药,000597,13.08,10
166,XD中炬高,600872,30.05,10
167,欧普康视,300595,46.12,10
175,路畅科技,002813,41.68,10
176,安井食品,603345,39.29,10
177,洁美科技,002859,41.2,10
190,青松股份,300132,13.28,6
197,长春高新,000661,255.3,10
216,惠而浦,600983,7.09,10
218,健康元,600380,12.31,10
255,跃岭股份,002725,11.51,10
259,老百姓,603883,79.79,10
264,宇环数控,002903,38.98,10
293,快意电梯,002774,9.68,10
295,盛弘股份,300693,27.66,10
303,伊力特,600197,25.37,10
304,裕同科技,002831,55.42,10
305,上海机场,600009,61.73,10
331,美丽生态,000010,4.65,10
338,西宁特钢,600117,4.74,8
346,长川科技,300604,42.81,8
354,达安基因,002030,16.35,10
356,普利制药,300630,79.44,10
370,合兴包装,002228,5.49,10
447,可立克,002782,18.26,10
482,老白干酒,600559,20.68,10
484,景旺电子,603228,56.85,6
499,广和通,300638,32.91,10
549,扬杰科技,300373,30.01,10
558,佳发教育,300559,33.5,6
561,万里扬,002434,9.01,10
587,森马服饰,002563,14.31,10
594,建新股份,300107,15.05,8
599,神马股份,600810,17.7,10
630,涪陵榨菜,002507,29.72,6
633,利安隆,300596,27.18,10
657,凌钢股份,600231,3.55,10
663,新余国科,300722,43.14,10
678,富奥股份,000030,7.37,10
704,泰格医药,300347,66.91,10
716,山东药玻,600529,18.23,10
736,法拉电子,600563,52.73,10
746,安图生物,603658,83.92,10
756,精测电子,300567,81.15,10
836,永东股份,002753,14.44,10
852,康泰生物,300601,72.3,10
860,健帆生物,300529,50.2,6
873,XD中新药,600329,21.5,10
879,珀莱雅,603605,49.46,10
890,智飞生物,300122,52.84,10
891,克来机电,603960,35.6,10
907,华昌达,300278,11.09,10
